id,name,categories,rating,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
JPsfA7czh0PusUKqpduDUA,ajio sushi,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]",4.0,43.21798,-79.74587,161 King Street E,Hamilton,L8R 1J6,CA,ON
G-0Glp0AHGFWzfuMuu4yVQ,oko bagels ,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,43.259918,-79.867288,118 James St N,Hamilton,L8R 2K7,CA,ON
YGPmtIFExK1InW_zafl4MA,mesa,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,43.26306,-79.86645,255 James Street N,Hamilton,L8R 2L2,CA,ON
GTAJyJuT_sE0byRLTdM5sA,sapporo japanese restaurant,"[{'alias': 'japanese', 'title': 'Japanese'}]",3.5,43.25429,-79.866,96 Main St E,Hamilton,L8N 1G3,CA,ON
F62oIPt7-CwuYHJ6vXp-HQ,black forest inn european cuisine,"[{'alias': 'german', 'title': 'German'}]",3.5,43.2543558198212,-79.8615892650853,255 King Street E,Hamilton,L8N 1B9,CA,ON
SxE08BnAeJwJEaobIEGQ7Q,shakespeare's steak and seafood,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.0,43.25372,-79.86234,181 Main Street E,Hamilton,L8N 1H2,CA,ON
8BWj3CORhDKsIkkpdeHL2Q,homemade noodles,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.5,43.2554837113039,-79.8649081215262,135 King Street E,Hamilton,L8N 1B2,CA,ON
12GctL58qX4G9bS2kBomHg,a & j sugar bowl,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'creperies', 'title': 'Creperies'}]",4.5,43.2609706641415,-79.8687781116161,124 MacNab Street N,Hamilton,L9H 2K1,CA,ON
PQKwbTLMeTSeIldSx1qnug,dunas verdes cafe,"[{'alias': 'cafes', 'title': 'Cafes'}]",3.5,43.26303,-79.86658,253 James St N,Hamilton,L8R 2L2,CA,ON
BSDejNjRUruXQxRA--9DUA,the famous owl of minerva,"[{'alias': 'korean', 'title': 'Korean'}]",4.0,43.25249,-79.85759,309 Main Street E,Hamilton,L8N 1H8,CA,ON
kB2-ZZWvtV7xESmPllib2A,szechuan noodle bowl,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,43.2558,-79.86579,117 King St E,Hamilton,L8N 1A9,CA,ON
pxIcps8mba2WypTvDraVQw,mystic ramen,"[{'alias': 'ramen', 'title': 'Ramen'}]",5.0,43.2571528984286,-79.8669049,51 King William Street,Hamilton,L8R 1A2,CA,ON
dxsrhzpSxY9wDGbZxhIjHQ,the coop,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",4.0,43.2591337,-79.8774391,274-274 King Street W,Hamilton,L8P 1J6,CA,ON
3U8HoroUphwFbjYAJ7i34Q,earth to table bread bar james,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,43.2573497323307,-79.8686394095421,14 James Street N,Hamilton,L8R 2J9,CA,ON
zobR2C2urvWgWce65SUwPQ,john street diner,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,43.256759067898,-79.866281747818,29 John Street N,Hamilton,L8R,CA,ON
E3VovXYlH2RvnsksrMZE_w,my-thai restaurant,"[{'alias': 'thai', 'title': 'Thai'}]",3.5,43.2566,-79.8665,21 John St N,Hamilton,L8R 1H1,CA,ON
HX6nuqwQYi4TgHZDxw8iiA,the brain,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,43.26193,-79.86695,199 James St N,Hamilton,L8R 2L1,CA,ON
XqZOIEbNX7mdIg1Cwb1RWw,famous recipe,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",5.0,43.2580694,-79.8740306,158 King Street W,Hamilton,L8P 1A6,CA,ON
yOA3EzxRINU8nMh1HkS9ug,batl axe throwing,"[{'alias': 'axethrowing', 'title': 'Axe Throwing'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'teambuilding', 'title': 'Team Building Activities'}]",5.0,43.25887,-79.86771,80 James Street N,Hamilton,L8R 2K5,CA,ON
ccvY3bOziuqDnBZSAI6CoQ,bon temps,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]",5.0,43.25088,-79.86872,61 Young Street,Hamilton,L8N 1V1,CA,ON
0vw6fL9m6j_9U4vonPKwGg,buona vita pizza,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,43.262024,-79.8775857,82 Queen Street  N,Hamilton,L8R 2V4,CA,ON
5Rk-xTpg7w7BqJU9e81oeg,denninger's foods of the world,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.0,43.25381,-79.8609,284 King Street E,Hamilton,L8N 1B7,CA,ON
Q4oLgsU62VPR28pBm0vCXw,earth to table : bread bar,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,43.25284,-79.88702,258 Locke Street S,Hamilton,L8P 4B9,CA,ON
uy_vkyImATNvWYzbUCOxyQ,the burnt tongue,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,43.2555538,-79.8858002,182 Locke Street S,Hamilton,L8P 4B3,CA,ON
6F_TjwC8F3OG_q1lGxgMFg,aberdeen tavern,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,43.2512808,-79.8933956,432 Aberdeen Avenue,Hamilton,L8P 2S2,CA,ON
zH1IGA8_naVKv4WDqvSOIg,the west town bar & grill,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.5,43.25456,-79.88633,214 Locke Street S,Hamilton,L8P 4B4,CA,ON
GIjr9JsXwtUAWhTFo9VBHg,peruviano,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'peruvian', 'title': 'Peruvian'}]",4.0,43.25299,-79.88692,254 Locke Street S,Hamilton,L8P 4B9,CA,ON
vqyK2q3zJ74TIT1-7Bf3Tg,la luna,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,43.25942165323912,-79.87848757635106,306 King Street W,Hamilton,L8P 1B1,CA,ON
ouKTL8ajZ2BGPRf33xwGWA,pho nhung,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,43.26239,-79.87797,85 Queen St N,Hamilton,L8R 2V5,CA,ON
5snqRcB4ug9Vp_CpRf4vdw,goodness me! natural food market,"[{'alias': 'shopping', 'title': 'Shopping'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'grocery', 'title': 'Grocery'}]",4.5,43.25577,-79.88585,176 Locke Street S,Hamilton,L8P 4A9,CA,ON
dxsrhzpSxY9wDGbZxhIjHQ,the coop,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'poutineries', 'title': 'Poutineries'}]",4.0,43.2591337,-79.8774391,274-274 King Street W,Hamilton,L8P 1J6,CA,ON
SRn16jLAA0DD88FGywZk9A,cima enoteca,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,43.25512,-79.88608,190 Locke Street S,Hamilton,L8P 4B4,CA,ON
wNHa-Hze5WuGQjFG9aqdFw,tomah,"[{'alias': 'syrian', 'title': 'Syrian'}]",5.0,43.25546,-79.88064,132 Queen Street S,Hamilton,L8P 3S2,CA,ON
dStxAm_cBxyBSXeoUCRxZg,ye old squire,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]",3.5,43.25415635113879,-79.88594719466658,225 Locke Street S,Hamilton,L8P 4B6,CA,ON
ZgoVlQmApvjWt-0evoeoGQ,moodys,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,43.25821,-79.87853,107 George Street,Hamilton,L8P 1E3,CA,ON
G6IQ3GGuJqR0CzPShjrvHg,cake & loaf bakery,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,43.2519312,-79.8921731,321 Dundurn Street S,Hamilton,L8P 2M5,CA,ON
YBi5k9aeRpi8PczZd3VazA,glow juicery,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,43.25521,-79.88558,35 Pine Street,Hamilton,L8P 2A2,CA,ON
